,count
Bolsonaro,14
Ministro,11
Lula,8
PF,6
Investigado,6
Investigação,6
Análise,4
STF,3
Procuradoria-Geral da República,3
Golpe de estado,3
Inquérito,3
Atacou,2
Conflito,2
crimes,2
Posse,2
Eleição,2
Alvo,2
Possível articulador,2
Vítima,2
Adversários,2
Julgamento,2
Cooperação,2
Denúncia,2
acusação,2
Envio,2
Indiciado,2
conduz,2
Chefe de agência,2
Ajudante,2
Espera,2
ajusta,2
prende,2
tem,2
Desrespeito,2
Orientação,2
Conversou,2
Destino,2
Desconfiança,2
advogado,2
Entrega,2
material,1
lei,1
depoimentos,1
equipe,1
assessoria,1
pessoas,1
Alexandre Ramagem,1
repórter do portal Metrópoles,1
Estado Democrático de Direito,1
relator,1
Mauro Cid,1
Braga Netto,1
Isso,1
Eu,1
Presidência,1
